StudentID,Year,Department,Gender,CGPA,Skills,Company,Role,OfferDate,CTC_LPA,Status
S20001,2021,CSE,Male,6.81,"Cybersecurity, AI, DevOps",Apple,AI Engineer,2022-11-17,28.45,Placed
S20002,2025,CIVIL,Male,10.0,"AI, Cybersecurity, SQL, Data Science, Computer Vision",Wipro,Analyst,2023-01-11,14.27,Placed
S20003,2021,ECE,Female,9.66,"React, SQL, C++, NLP, AI",Facebook,Data Scientist,2022-12-31,4.0,Unplaced
S20004,2022,IT,Female,9.99,"Computer Vision, Node.js, AI",Infosys,Web Developer,2024-03-04,25.07,Unplaced
S20005,2025,ECE,Female,9.9,"C++, AI, React, Cybersecurity, Node.js",HCL,Data Scientist,2023-05-11,23.58,Unplaced
S20006,2025,MECH,Female,8.31,"Computer Vision, Node.js, Data Science, Cloud, SQL",Wipro,System Engineer,2025-06-27,30.67,Unplaced
S20007,2022,MECH,Female,8.86,"Deep Learning, Computer Vision, AI, Cybersecurity, SQL",HCL,Analyst,2023-12-13,24.31,Unplaced
S20008,2023,CIVIL,Male,7.44,"Computer Vision, DevOps, Cloud, Java",TCS,Web Developer,2023-09-16,3.35,Placed
S20009,2021,CSE,Male,6.37,"DevOps, Java, AI",HCL,Data Scientist,2025-03-20,38.87,Placed
S20010,2022,CSE,Female,9.49,"Python, Data Science",TCS,Data Scientist,2023-07-17,13.48,Placed
S20011,2021,CSE,Male,5.13,"Data Science, Deep Learning",Amazon,Cloud Engineer,2025-03-21,42.31,Placed
S20012,2025,CIVIL,Male,6.93,"AI, Machine Learning",Amazon,Software Engineer,2022-10-16,3.18,Placed
S20013,2023,ECE,Female,5.15,"SQL, AI, Cloud, Cybersecurity, Python",Apple,Cloud Engineer,2025-02-09,19.88,Placed
S20014,2024,IT,Male,8.3,"NLP, Java, Python, Node.js",Amazon,Analyst,2025-07-15,27.57,Unplaced
S20015,2024,MECH,Female,5.72,"Deep Learning, Computer Vision, Cloud, React",Google,Web Developer,2023-04-25,26.43,Placed
S20016,2021,ECE,Male,5.66,"Java, Node.js, DevOps",Facebook,Analyst,2024-06-21,41.49,Placed
S20017,2022,IT,Female,5.37,"Cloud, Machine Learning",Accenture,Cloud Engineer,2025-05-09,36.61,Unplaced
S20018,2023,CIVIL,Female,6.39,"C++, Python",Infosys,System Engineer,2024-04-24,9.73,Placed
S20019,2022,CSE,Male,5.1,"Java, Machine Learning, Python",HCL,Web Developer,2024-10-20,22.5,Unplaced
S20020,2025,CIVIL,Female,6.06,"Cybersecurity, AI, React",Infosys,Analyst,2024-03-21,3.9,Placed
S20021,2024,MECH,Male,9.6,"Data Science, Python, SQL, Java, Cloud",TCS,AI Engineer,2024-12-14,32.0,Unplaced
S20022,2023,CSE,Female,5.51,"Machine Learning, NLP, AI, DevOps",Google,Cloud Engineer,2024-07-13,21.96,Unplaced
S20023,2024,EEE,Male,9.45,"Python, Deep Learning",Google,AI Engineer,2024-10-09,15.84,Placed
S20024,2022,AIML,Female,5.96,"React, Cybersecurity, Node.js, C++",TCS,System Engineer,2023-10-12,40.28,Unplaced
S20025,2021,CSE,Male,8.08,"DevOps, React, Machine Learning, Cybersecurity",Microsoft,Software Engineer,2022-10-16,28.96,Unplaced
S20026,2021,CIVIL,Female,6.45,"C++, AI, Data Science, Deep Learning, Node.js",HCL,Cloud Engineer,2022-10-03,23.06,Unplaced
S20027,2024,AIML,Female,6.97,"Node.js, Cloud, Deep Learning",HCL,System Engineer,2024-03-09,32.22,Placed
S20028,2025,CIVIL,Male,5.36,"SQL, C++, AI",Infosys,Software Engineer,2024-08-13,36.54,Placed
S20029,2022,ECE,Female,6.16,"Node.js, C++, SQL, Deep Learning",Microsoft,Data Scientist,2023-12-29,25.72,Unplaced
S20030,2021,ECE,Male,8.58,"C++, Computer Vision, Node.js, Cybersecurity",Facebook,System Engineer,2024-04-03,39.73,Unplaced
S20031,2025,CIVIL,Male,7.33,"AI, Cloud",Infosys,Web Developer,2024-06-10,10.58,Placed
S20032,2024,ECE,Female,6.27,"Cybersecurity, DevOps, Node.js, Data Science, SQL",TCS,Web Developer,2024-11-15,34.32,Placed
S20033,2022,MECH,Male,7.01,"Computer Vision, DevOps, Python, Data Science, Node.js",HCL,Web Developer,2023-05-04,41.08,Unplaced
S20034,2022,AIML,Male,5.09,"Cybersecurity, Cloud, NLP",Infosys,Data Scientist,2025-01-08,40.16,Placed
S20035,2024,AIML,Male,6.37,"Node.js, AI, Cloud",Amazon,Software Engineer,2023-05-24,28.72,Unplaced
S20036,2024,ECE,Male,7.34,"AI, Java, Data Science",Google,System Engineer,2023-08-23,25.39,Placed
S20037,2025,EEE,Female,7.3,"Python, Java, Cloud, Data Science, C++",Infosys,AI Engineer,2023-08-15,31.35,Placed
S20038,2021,IT,Female,6.91,"DevOps, Deep Learning, C++, Python, NLP",HCL,System Engineer,2022-09-28,43.61,Unplaced
S20039,2021,MECH,Female,7.82,"NLP, DevOps, Deep Learning",Wipro,Web Developer,2023-05-23,8.6,Unplaced
S20040,2021,ECE,Female,6.52,"DevOps, Computer Vision, React, SQL",Microsoft,Analyst,2024-01-09,29.6,Unplaced
S20041,2025,MECH,Male,8.99,"Deep Learning, Python",Facebook,System Engineer,2023-05-18,26.57,Unplaced
S20042,2021,CSE,Male,8.38,"NLP, Data Science, Machine Learning, Computer Vision, Cybersecurity",Microsoft,AI Engineer,2023-03-22,22.21,Placed
S20043,2024,EEE,Female,7.31,"Computer Vision, Cybersecurity, Node.js",Facebook,AI Engineer,2024-10-22,16.7,Placed
S20044,2022,EEE,Male,8.76,"C++, Data Science, Computer Vision, AI",Facebook,AI Engineer,2024-10-22,36.96,Unplaced
S20045,2024,AIML,Female,6.4,"Cybersecurity, React, AI, Computer Vision",Apple,Analyst,2024-03-02,29.14,Placed
